name,generation,status,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,percentage_male,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
Alolan Sandshrew,1,Normal,2,Ice,Steel,0.7,40,300,50,75,90,10,35,40,255,70,60,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
Sandslash,1,Normal,1,Ground,none,1,29.5,450,75,100,110,45,55,65,90,70,158,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Alolan Sandslash,1,Normal,2,Ice,Steel,1.2,55,450,75,100,120,25,65,65,90,70,158,50,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
Nidoran♀,1,Normal,1,Poison,none,0.4,7,275,55,47,52,40,40,41,235,70,55,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidorina,1,Normal,1,Poison,none,0.8,20,365,70,62,67,55,55,56,120,70,128,0,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidoqueen,1,Normal,2,Poison,Ground,1.3,60,505,90,92,87,75,85,76,45,70,227,0,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
Nidoran♂,1,Normal,1,Poison,none,0.5,9,273,46,57,40,40,40,50,235,70,55,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidorino,1,Normal,1,Poison,none,0.9,19.5,365,61,72,57,55,55,65,120,70,128,100,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Nidoking,1,Normal,2,Poison,Ground,1.4,62,505,81,102,77,85,75,85,45,70,227,100,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
Clefairy,1,Normal,1,Fairy,none,0.6,7.5,323,70,45,48,60,65,35,150,140,113,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Clefable,1,Normal,1,Fairy,none,1.3,40,483,95,70,73,95,90,60,25,140,217,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
Vulpix,1,Normal,1,Fire,none,0.6,9.9,299,38,41,40,50,65,65,190,70,60,25,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Alolan Vulpix,1,Normal,1,Ice,none,0.6,9.9,299,38,41,40,50,65,65,190,70,60,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Ninetales,1,Normal,1,Fire,none,1.1,19.9,505,73,76,75,81,100,100,75,70,177,25,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Alolan Ninetales,1,Normal,2,Ice,Fairy,1.1,19.9,505,73,67,75,81,100,109,75,70,177,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Jigglypuff,1,Normal,2,Normal,Fairy,0.5,5.5,270,115,45,20,45,25,20,170,70,95,25,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Wigglytuff,1,Normal,2,Normal,Fairy,1,12,435,140,70,45,85,50,45,50,70,196,25,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
Zubat,1,Normal,2,Poison,Flying,0.8,7.5,245,40,45,35,30,40,55,255,70,49,50,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
Golbat,1,Normal,2,Poison,Flying,1.6,55,455,75,80,70,65,75,90,90,70,159,50,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
Oddish,1,Normal,2,Grass,Poison,0.5,5.4,320,45,50,55,75,65,30,255,70,64,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Gloom,1,Normal,2,Grass,Poison,0.8,8.6,395,60,65,70,85,75,40,120,70,138,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Vileplume,1,Normal,2,Grass,Poison,1.2,18.6,490,75,80,85,110,90,50,45,70,221,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Paras,1,Normal,2,Bug,Grass,0.3,5.4,285,35,70,55,45,55,25,190,70,57,50,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
Parasect,1,Normal,2,Bug,Grass,1,29.5,405,60,95,80,60,80,30,75,70,142,50,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
Venonat,1,Normal,2,Bug,Poison,1,30,305,60,55,50,40,55,45,190,70,61,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Venomoth,1,Normal,2,Bug,Poison,1.5,12.5,450,70,65,60,90,75,90,75,70,158,50,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
Diglett,1,Normal,1,Ground,none,0.2,0.8,265,10,55,25,35,45,95,255,70,53,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Alolan Diglett,1,Normal,2,Ground,Steel,0.2,1,265,10,55,30,35,45,90,255,70,53,50,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
Dugtrio,1,Normal,1,Ground,none,0.7,33.3,425,35,100,50,50,70,120,50,70,149,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Alolan Dugtrio,1,Normal,2,Ground,Steel,0.7,66.6,425,35,100,60,50,70,110,50,70,149,50,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
Meowth,1,Normal,1,Normal,none,0.4,4.2,290,40,45,35,40,40,90,255,70,58,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Alolan Meowth,1,Normal,1,Dark,none,0.4,4.2,290,40,35,35,50,40,90,255,70,58,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Galarian Meowth,1,Normal,1,Steel,none,0.4,7.5,290,50,65,55,40,40,40,,,,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
Persian,1,Normal,1,Normal,none,1,32,440,65,70,60,65,65,115,90,70,154,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Alolan Persian,1,Normal,1,Dark,none,1.1,33,440,65,60,60,75,65,115,90,70,154,50,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
Psyduck,1,Normal,1,Water,none,0.8,19.6,320,50,52,48,65,50,55,190,70,64,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Golduck,1,Normal,1,Water,none,1.7,76.6,500,80,82,78,95,80,85,75,70,175,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Mankey,1,Normal,1,Fighting,none,0.5,28,305,40,80,35,35,45,70,190,70,61,50,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Primeape,1,Normal,1,Fighting,none,1,32,455,65,105,60,60,70,95,75,70,159,50,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Growlithe,1,Normal,1,Fire,none,0.7,19,350,55,70,45,70,50,60,190,70,70,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Arcanine,1,Normal,1,Fire,none,1.9,155,555,90,110,80,100,80,95,75,70,194,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Poliwag,1,Normal,1,Water,none,0.6,12.4,300,40,50,40,40,40,90,255,70,60,50,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Poliwhirl,1,Normal,1,Water,none,1,20,385,65,65,65,50,50,90,120,70,135,50,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Poliwrath,1,Normal,2,Water,Fighting,1.3,54,510,90,95,95,70,90,70,45,70,230,50,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
Abra,1,Normal,1,Psychic,none,0.9,19.5,310,25,20,15,105,55,90,200,70,62,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Kadabra,1,Normal,1,Psychic,none,1.3,56.5,400,40,35,30,120,70,105,100,70,140,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Alakazam,1,Normal,1,Psychic,none,1.5,48,500,55,50,45,135,95,120,50,70,225,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Mega Alakazam,1,Normal,1,Psychic,none,1.2,48,600,55,50,65,175,105,150,50,70,270,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Machop,1,Normal,1,Fighting,none,0.8,19.5,305,70,80,50,35,35,35,180,70,61,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Machoke,1,Normal,1,Fighting,none,1.5,70.5,405,80,100,70,50,60,45,90,70,142,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Machamp,1,Normal,1,Fighting,none,1.6,130,505,90,130,80,65,85,55,45,70,227,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Bellsprout,1,Normal,2,Grass,Poison,0.7,4,300,50,75,35,70,30,40,255,70,60,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Weepinbell,1,Normal,2,Grass,Poison,1,6.4,390,65,90,50,85,45,55,120,70,137,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Victreebel,1,Normal,2,Grass,Poison,1.7,15.5,490,80,105,65,100,70,70,45,70,221,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
Tentacool,1,Normal,2,Water,Poison,0.9,45.5,335,40,40,35,50,100,70,190,70,67,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
Tentacruel,1,Normal,2,Water,Poison,1.6,55,515,80,70,65,80,120,100,60,70,180,50,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
Geodude,1,Normal,2,Rock,Ground,0.4,20,300,40,80,100,30,30,20,255,70,60,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Alolan Geodude,1,Normal,2,Rock,Electric,0.4,20.3,300,40,80,100,30,30,20,255,70,60,50,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
Graveler,1,Normal,2,Rock,Ground,1,105,390,55,95,115,45,45,35,120,70,137,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Alolan Graveler,1,Normal,2,Rock,Electric,1,110,390,55,95,115,45,45,35,120,70,137,50,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
Golem,1,Normal,2,Rock,Ground,1.4,300,495,80,120,130,55,65,45,45,70,223,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Alolan Golem,1,Normal,2,Rock,Electric,1.7,316,495,80,120,130,55,65,45,45,70,223,50,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
Ponyta,1,Normal,1,Fire,none,1,30,410,50,85,55,65,65,90,190,70,82,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Galarian Ponyta,1,Normal,1,Psychic,none,0.8,24,410,50,85,55,65,65,90,,,,,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Rapidash,1,Normal,1,Fire,none,1.7,95,500,65,100,70,80,80,105,60,70,175,50,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Galarian Rapidash,1,Normal,2,Psychic,Fairy,1.7,80,500,65,100,70,80,80,105,,,,,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
Slowpoke,1,Normal,2,Water,Psychic,1.2,36,315,90,65,65,40,40,15,190,70,63,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
Slowbro,1,Normal,2,Water,Psychic,1.6,78.5,490,95,75,110,100,80,30,75,70,172,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
Mega Slowbro,1,Normal,2,Water,Psychic,2,120,590,95,75,180,130,80,30,75,70,207,50,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
Magnemite,1,Normal,2,Electric,Steel,0.3,6,325,25,35,70,95,55,45,190,70,65,,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
Magneton,1,Normal,2,Electric,Steel,1,60,465,50,60,95,120,70,70,60,70,163,,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
Farfetch'd,1,Normal,2,Normal,Flying,0.8,15,377,52,90,55,58,62,60,45,70,132,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Galarian Farfetch'd,1,Normal,1,Fighting,none,0.8,42,377,52,95,55,58,62,55,,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Doduo,1,Normal,2,Normal,Flying,1.4,39.2,310,35,85,45,35,35,75,190,70,62,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Dodrio,1,Normal,2,Normal,Flying,1.8,85.2,470,60,110,70,60,60,110,45,70,165,50,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
Seel,1,Normal,1,Water,none,1.1,90,325,65,45,55,45,70,45,190,70,65,50,1,0.25,0.5,2,2,0.25,1,1,1,1,1,1,1,1,1,1,0.5,1
Dewgong,1,Normal,2,Water,Ice,1.7,120,475,90,70,80,70,95,70,75,70,166,50,1,0.5,0.5,2,2,0.125,2,1,1,1,1,1,2,1,1,1,1,1
Grimer,1,Normal,1,Poison,none,0.9,30,325,80,80,50,40,50,25,190,70,65,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Alolan Grimer,1,Normal,2,Poison,Dark,0.7,42,325,80,80,50,40,50,25,190,70,65,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
Muk,1,Normal,1,Poison,none,1.2,30,500,105,105,75,65,100,50,75,70,175,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Alolan Muk,1,Normal,2,Poison,Dark,1,52,500,105,105,75,65,100,50,75,70,175,50,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
Shellder,1,Normal,1,Water,none,0.3,4,305,30,65,100,45,25,40,190,70,61,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Cloyster,1,Normal,2,Water,Ice,1.5,132.5,525,50,95,180,85,45,70,60,70,184,50,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
Gastly,1,Normal,2,Ghost,Poison,1.3,0.1,310,30,35,30,100,35,80,190,70,62,50,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
Haunter,1,Normal,2,Ghost,Poison,1.6,0.1,405,45,50,45,115,55,95,90,70,142,50,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
Gengar,1,Normal,2,Ghost,Poison,1.5,40.5,500,60,65,60,130,75,110,45,70,225,50,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
Mega Gengar,1,Normal,2,Ghost,Poison,1.4,40.5,600,60,65,80,170,95,130,45,70,270,50,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
Onix,1,Normal,2,Rock,Ground,8.8,210,385,35,45,160,30,45,70,45,70,77,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
Drowzee,1,Normal,1,Psychic,none,1,32.4,328,60,48,45,43,90,42,190,70,66,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Hypno,1,Normal,1,Psychic,none,1.6,75.6,483,85,73,70,73,115,67,75,70,169,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
Krabby,1,Normal,1,Water,none,0.4,6.5,325,30,105,90,25,25,50,225,70,65,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Kingler,1,Normal,1,Water,none,1.3,60,475,55,130,115,50,50,75,60,70,166,50,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
Voltorb,1,Normal,1,Electric,none,0.5,10.4,330,40,30,50,55,55,100,190,70,66,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Electrode,1,Normal,1,Electric,none,1.2,66.6,490,60,50,70,80,80,150,60,70,172,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
Exeggcute,1,Normal,2,Grass,Psychic,0.4,2.5,325,60,40,80,60,45,40,90,70,65,50,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
Exeggutor,1,Normal,2,Grass,Psychic,2,120,530,95,95,85,125,75,55,45,70,186,50,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
Alolan Exeggutor,1,Normal,2,Grass,Dragon,10.9,415.6,530,95,105,85,125,75,45,45,70,186,50,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
Cubone,1,Normal,1,Ground,none,0.4,6.5,320,50,50,95,40,50,35,190,70,64,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Marowak,1,Normal,1,Ground,none,1,45,425,60,80,110,50,80,45,75,70,149,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
Alolan Marowak,1,Normal,2,Fire,Ghost,1,34,425,60,80,110,50,80,45,75,70,149,50,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
Hitmonlee,1,Normal,1,Fighting,none,1.5,49.8,455,50,120,53,35,110,87,45,70,159,100,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Hitmonchan,1,Normal,1,Fighting,none,1.4,50.2,455,50,105,79,35,110,76,45,70,159,100,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
Lickitung,1,Normal,1,Normal,none,1.2,65.5,385,90,55,75,60,75,30,45,70,77,50,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
Koffing,1,Normal,1,Poison,none,0.6,1,340,40,65,95,60,45,35,190,70,68,50,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
Weezing,1,Normal,1,Poison,none,1.2,9.5,490,65,90,120,85,70,60,60,70,172,50,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
Galarian Weezing,1,Normal,2,Poison,Fairy,3,16,490,65,90,120,85,70,60,,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
Rhyhorn,1,Normal,2,Ground,Rock,1,115,345,80,85,95,30,30,25,120,70,69,50,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
